Gene	Foe	Friend	logodds
irtB	4.5210389021209	5.81954371878978	-0.252475111565807
rtxB	4.93716683679256	6.06501517673553	-0.205741626424912
irp6C	0.684019507769082	1.1099578967982	-0.484034830902171
cyaB	1.56992174208915	2.11240575736806	-0.296785337898057
FTM_1045	0.137348304411931	0.157935963967492	-0.139574748673129
FTF0793	0.156288987183849	0.179770880250661	-0.139892850337294
fagC	2.10037427696495	2.83893077450308	-0.301299551937831
FTN_1217	0.174549166383124	0.200234994614707	-0.137211740248306
FNFX1_1262	0.174549166383124	0.185547831195535	-0.0610723001628185
iroC	5.91425654984689	8.51884852638794	-0.364910212098023
Fphi_1470	0.21912215039129	0.270243806912758	-0.209608906876896
FTA_1516	0.144720426448906	0.175854303338882	-0.194729784567089
FTH_1391	0.137915390722468	0.165377460099873	-0.181469786879089
spaF	0.00907338096858342	0.00039165769117791	2.92627847145403
mll6353	0.0884654644436883	0.0541466758053461	0.490200274724832
CLB_2872	0.412838834070546	0.498482326446686	-0.188469243635977
CLD_1633	0.418963366224339	0.504161362968765	-0.185072570448875
CLK_2301	0.408528978110468	0.499069812983452	-0.200138744085922
CLI_2965	0.406714301916752	0.486145109174581	-0.17835601595205
CPR_0433	0.452534875808098	0.506315480270244	-0.112271652806063
hlyB	13.7451514120449	15.7569764026241	-0.136596147159772
fadD13	8.52092548485879	16.6862821893665	-0.672056253339083
tgs4	0.926165362368152	1.44776265543915	-0.446682955205522
tlyC	3.15957808778496	5.91873102908058	-0.627668816638412
fagA	0.391062719745945	0.323607167335749	0.189284333851188
fagB	0.0657820120222298	0.0501321844707725	0.271209499376259
zmp1	3.32006351366678	4.61225888573387	-0.328725382199754
lysA	4.28705909039356	3.99265641829041	0.0711424728469629
yhxB.manB	1.70681637745265	1.75031822187408	-0.0251662887173747
ptpA	0.488261313371895	0.624694017428767	-0.246366495152664
fxbBC	0.369286605421345	0.465093508273769	-0.230609659104397
pvdD	4.07474197572871	4.74131009497699	-0.151502612879236
mps1	9.05375978223886	2.71173993929306	1.20556381316187
pvdI	5.51888397414086	6.25036717908548	-0.124462428916691
mps2	5.58806850402631	1.840399490845	1.11061459836442
glnA1	6.5319269592832	8.89748359933418	-0.309062431818064
sigA.rpoV	9.5987297266644	16.3170469010085	-0.530575324440147
secA2	9.89826471588976	12.3067658866151	-0.217787745521691
PSEEN2497	0.269592832029035	0.441887790071478	-0.493998605202218
PSEEN2498	0.516615628898718	0.647410163517086	-0.225641807636359
irtA	6.90280140637405	6.92480172329384	-0.00318204349266271
pchH	0.702506521492571	1.26573974346421	-0.588693988019368
ybtQ	5.06816377452648	6.34720454322922	-0.225031933235949
pgi	3.53453555631167	3.67110545383335	-0.0379098714459674
M3Q_300	0.200861971192015	0.250563007931068	-0.22099374704634
ABTW07_0098	0.201655892026766	0.248800548320768	-0.209994901030035
ABK1_0102	0.202563230123625	0.25301086850093	-0.222281971630441
BJAB07104_00104	0.201996143813088	0.254675413688436	-0.231638882814586
ABTJ_03745	0.20108880571623	0.243513169489866	-0.191337797235244
ABZJ_00095	0.200635136667801	0.237736218544992	-0.169595968337363
mprB	1.84008166042872	2.15450895916969	-0.157744954387026
A225_3869	0.036406941136441	0.0719671007539411	-0.680095229301095
rfbD	0.183168878303278	0.338979731714482	-0.615280921672943
cpsI	0.191675172961325	0.224028199353765	-0.155894494944739
KPN2242_15510	0.0374276964954066	0.0728483305590914	-0.664672156402687
glf	0.133265282976069	0.216292959953001	-0.484004161822894
BCAL3235	0.0367471929227628	0.0664838930774503	-0.591683262652264
sodA	2.26210729272995	1.99099187310291	0.127657846625657
A79E_1617	0.0291482363615742	0.0487613825516499	-0.51316808508607
KPHS_35470	0.0289214018373596	0.0486634681288554	-0.518947876404142
C8J_1343	0.0292616536236815	0.0557133065700578	-0.642322785462756
cps2P	0.0324373369626857	0.0311367864486439	0.0407918064373562
sodB	0.323806283316321	0.237540389699403	0.309695661568936
ipaH2.5	0.569468073040717	0.162537941838833	1.25335179244778
oppF	1.6858341839628	1.69274454127093	-0.00409045250092655
sugC	57.4402858115005	75.6980319201018	-0.276005841237978
orfM	0.693092888737666	1.2375403896994	-0.579653635042392
oatA	2.15969150504707	1.48702633897973	0.373166065400445
mmpL11	1.98775093569241	1.72358758445119	0.142588183072583
irp6A	0.0500170125893161	0.0177225105258005	1.03389822849008
irp6B	0.170806396733583	0.16116713991971	0.0580537750057192
wbjD.wecB	0.859816264035386	0.568589053167532	0.413501211849009
orfK	0.280140637405013	0.20992852247136	0.288405310596768
SPH_0465	0.185664058069638	0.189562322530109	-0.020767877658986
cps4I	0.187138482477033	0.200039165769118	-0.0666298417122843
capP	0.49937620505841	0.5585038676197	-0.111880617827086
SaurJH9_0150	0.167857547918793	0.185058259081563	-0.0974996573686477
SAS0139	0.173074741975729	0.189562322530109	-0.0909440871917683
mynA.sacA	0.196211863445616	0.176148046607265	0.10781217618544
cap5P	0.162867188386072	0.186037403309507	-0.132936246160242
cap8P	0.161846433027107	0.185058259081563	-0.1339452936549
SAOUHSC_00129	0.153793807417489	0.172916870655047	-0.117126305648304
PMI0229	0.105818305546104	0.105160090081269	0.00623375885005323
msbA	14.7402744697743	15.5356898071086	-0.0525560906053548
relA	14.070772371555	16.0413198864193	-0.131067248670825
coxK2	0.257570602245662	0.195730931166161	0.274430342829151
hemE	0.620165589202677	0.563987075296191	0.0949391275924103
hmuV	3.12725416808438	5.42935474395378	-0.55165138006385
ddrA	18.9546330951571	37.2639772838539	-0.675976119198519
bhuV	0.137234887149824	0.2464506021737	-0.585144880251911
allC	0.0567086310536464	0.0953686478018212	-0.519109628964189
sbnB	0.0146308268118408	0.0317242729854108	-0.770286939998432
cylA	0.957355109447658	1.6649368451973	-0.553323694544953
fadD22	0.315980492230918	0.983648291393322	-1.13537315949949
cylG	1.29046160825678	2.31871144619602	-0.585977267857881
pvdL	8.47805375978224	11.4137863507295	-0.297338005965378
flmH	2.06022456617897	3.97581513756976	-0.657391418108628
ppsA	2.09141431325848	1.03632625085675	0.70210985714373
ppsB	1.51491436996711	0.967786154900617	0.448065731238887
icl	3.82511058183055	3.30686380103789	0.145583032060003
clbD	0.278325961211296	0.437677469891315	-0.452558546071589
devR.dosR	2.20267664738573	4.53431900518946	-0.721978284822517
letA	0.694794147669275	1.55948301184765	-0.808414235961585
fimZ	0.195417942610865	0.290707921276804	-0.397010831617474
bvgA	0.38459793580583	0.480270243806913	-0.222098703816081
hrpY	0.178972439605308	0.274454127092921	-0.427358011312606
algR	1.1554950663491	2.07157544306276	-0.583742252420077
clpC	1.58024271294091	1.65338294330755	-0.0452422074359257
A79E_1186	1.60564817965294	1.69568197395476	-0.0545541725011033
clpB	6.54973346943405	6.84128072065015	-0.0435499461976302
KOX_00005	1.60360666893501	1.68481347302458	-0.0493965931731696
KPHS_39850	1.55642508789838	1.64075198276706	-0.0527597797107721
